code,county,totalpop,income,incomepercap,crime_rate_per_100000
Georgia,Gilmer,28673,40228,21766,223.9406557
Georgia,Glascock,3087,40759,18921,0
Georgia,Glynn,81743,45918,26541,559.4542867
Georgia,Gordon,55889,41612,19707,328.2099109
Georgia,Grady,25243,34187,16953,154.2843579
Georgia,Greene,16331,42408,28209,300.2267018
Georgia,Gwinnett,859234,60289,25831,221.22555
Georgia,Habersham,43527,40907,19026,140.8775982
Georgia,Hall,187916,51202,24292,172.5745027
Georgia,Hancock,8881,24925,12358,78.83770695
Georgia,Haralson,28565,41910,20740,582.5583436
Georgia,Harris,32776,63824,30386,113.278021
Georgia,Hart,25498,37653,20733,373.3396212
Georgia,Heard,11617,41525,19222,250.9084617
Georgia,Henry,211512,60424,24996,184.248418
Georgia,Houston,147570,53270,24368,331.8479188
Georgia,Irwin,9408,34156,17576,381.8818288
Georgia,Jackson,61420,53379,23504,149.0727999
Georgia,Jasper,13593,42368,20570,279.3912212
Georgia,Jeff Davis,14990,36385,18446,539.8560384
Georgia,Jefferson,16374,26557,16048,306.372549
Georgia,Jenkins,8922,24604,17366,0
Georgia,Johnson,9794,34438,16954,245.7254019
Georgia,Jones,28738,51857,26005,84.00714061
Georgia,Lamar,18114,40344,19217,328.5260872
Georgia,Lanier,10403,37605,16688,336.2797848
Georgia,Laurens,47886,32356,19194,339.5904081
Georgia,Lee,28946,61537,27999,316.4665818
Georgia,Liberty,64427,42201,19785,385.1251267
Georgia,Lincoln,7720,34243,22373,387.0468327
Georgia,Long,16588,48863,18166,156.400385
Georgia,Lowndes,113203,36834,19173,318.8210705
Georgia,Lumpkin,30921,43804,21963,261.9833107
Georgia,McDuffie,21582,36656,19065,60.28286575
Georgia,McIntosh,14007,42988,23887,178.4821875
Georgia,Macon,14045,28684,13431,192.7332429
Georgia,Madison,28232,41912,20857,156.8236091
Georgia,Marion,8739,36242,19077,46.2962963
Georgia,Meriwether,21297,35832,18059,273.1725697
Georgia,Miller,5936,33983,18904,286.5812542
Georgia,Mitchell,22982,31915,15297,290.7355175
Georgia,Monroe,26915,48744,25539,144.5300919
Georgia,Montgomery,8968,34672,17402,33.25573661
Georgia,Morgan,17900,51820,24435,179.9673809
Georgia,Murray,39401,35539,17043,234.2934271
Georgia,Muscogee,200285,42306,23318,490.5731077
Georgia,Newton,102645,49179,21717,363.1181305
Georgia,Oconee,34400,72182,33528,117.5260761
Georgia,Oglethorpe,14688,44226,21848,412.4278251
Georgia,Paulding,147400,60109,24930,150.3912896
Georgia,Peach,27086,41588,20689,658.9175983
Georgia,Pickens,29740,54123,27720,192.6717144
Georgia,Pierce,18934,40247,21619,322.1037068
Georgia,Pike,17812,51338,23150,61.81164307
Georgia,Polk,41215,37853,20293,427.3608042
Georgia,Pulaski,11590,38750,17656,337.8963784
Georgia,Putnam,21247,44299,25864,533.4331571
Georgia,Quitman,2326,31487,17334,549.2184199
Georgia,Rabun,16266,35211,22869,190.9454881
Georgia,Randolph,7315,28377,26031,125.052105
Georgia,Richmond,201291,37424,20659,454.9437385
Georgia,Rockdale,86901,50455,22614,357.8043926
Georgia,Schley,5074,39375,19858,117.9013559
Georgia,Screven,14206,34466,18597,245.7865169
Georgia,Seminole,8769,34905,19891,368.921185
Georgia,Spalding,63873,40246,19588,546.7734102
Georgia,Stephens,25620,40315,20001,381.5753611
Georgia,Stewart,5868,21118,13721,51.12474438
Georgia,Sumter,31429,32758,17404,752.455044
Georgia,Talbot,6490,34078,18971,154.8946716
Georgia,Taliaferro,1721,26306,14805,176.1597181
Georgia,Tattnall,25302,33980,14957,62.68118781
Georgia,Taylor,8401,28143,16857,271.7391304
Georgia,Telfair,16416,26449,12155,271.2313905
Georgia,Terrell,9213,28688,16242,376.8565728
Georgia,Thomas,44824,36641,20471,340.9926675
Georgia,Tift,40787,37653,20078,551.0599216
Georgia,Toombs,27210,33679,19564,282.33051
Georgia,Towns,10800,37000,19978,139.2628354
Georgia,Treutlen,6762,38596,21127,59.59475566
Georgia,Troup,68867,41489,21559,315.6995351
Georgia,Turner,8338,31806,18227,590.1155643
Georgia,Twiggs,8509,30468,17768,153.2838109
Georgia,Union,21725,40799,21872,83.46471297
Georgia,Upson,26528,35774,19069,180.6820748
Georgia,Walker,68285,41632,21430,218.4814804
Georgia,Walton,86201,54453,23625,299.6944749
Georgia,Ware,35723,34909,18100,408.8605114
Georgia,Warren,5561,29176,18174,629.7229219
Georgia,Washington,20785,37932,18285,246.6627974
Georgia,Wayne,30046,38955,18291,668.2847358
Georgia,Webster,2720,37063,18767,36.77822729
Georgia,Wheeler,7956,27620,8292,126.4382349
Georgia,White,27791,40888,21718,187.0705472
Georgia,Whitfield,103456,40596,20353,264.2187576
Georgia,Wilcox,8972,32043,13521,223.2142857
Georgia,Wilkes,9991,32727,18392,529.4705295
Georgia,Wilkinson,9386,38485,18037,116.6242578
Georgia,Worth,21156,37974,18762,263.0219342
Hawaii,Hawaii,191482,52108,24548,220.6256125
Hawaii,Honolulu,984178,74460,31041,237.5362126
Hawaii,Kalawao,85,66250,46769,0
Hawaii,Kauai,69691,65101,27441,302.1061112
Hawaii,Maui,160863,66476,29664,256.5511042
Idaho,Ada,417501,56356,28851,206.5004418
Idaho,Adams,3880,39565,21219,26.12330199
Idaho,Bannock,83604,43779,21598,235.4382635
Idaho,Bear Lake,5939,48654,22959,84.13259297
Idaho,Benewah,9088,39863,20937,276.42636
Idaho,Bingham,45407,50155,20164,147.9355266
Idaho,Blaine,21309,60088,34208,328.1916639
Idaho,Boise,6885,44238,27276,220.7505519
Idaho,Bonner,41066,42171,23981,100.7395759
Idaho,Bonneville,107788,50762,23926,186.9471804
Idaho,Boundary,10961,38961,20795,101.3544642
Idaho,Butte,2653,37891,21982,189.2505678
